author1,author2
David La Barbera,Kevin Roitero
David La Barbera,Stefano Mizzaro
David La Barbera,Gianluca Demartini
David La Barbera,Damiano Spina
David La Barbera,Michael Soprano
David La Barbera,Vincenzo Della Mea
David La Barbera,Davide Ceolin
David La Barbera,Tim Draws
David La Barbera,Joel Mackenzie
